Sõiduauto;BMW;must;tagavedu;manuaal;09/2000;diisel;2.0 (100 kW);;1 EUR;;https://www.auto24.ee/used/3064273
BMW;523;hõbedane;tagavedu;manuaal;08/1996;bensiin;2.5 (125 kW);;450 EUR;;https://www.auto24.ee/used/3062657
BMW;320;tumesinine;tagavedu;manuaal;06/1994;bensiin;2.0 R6 (110 kW);287 000 km;900 EUR;750 EUR;https://www.auto24.ee/used/3046484
BMW;730;valge;;automaat;1987;bensiin;3.0 (138 kW);;900 EUR;750 EUR;https://www.auto24.ee/used/3053985
BMW;318;tumeroheline met.;tagavedu;automaat;03/2001;bensiin;1.9 R4 (87 kW);255 000 km;1150 EUR;800 EUR;https://www.auto24.ee/used/3055342
BMW;728;;;;;;2.8;;950 EUR;800 EUR;https://www.auto24.ee/used/2981840
BMW;316;hõbedane;tagavedu;automaat;04/1995;bensiin;1.6 (75 kW);300 167 km;1000 EUR;850 EUR;https://www.auto24.ee/used/2952976
BMW;316;sinine met.;tagavedu;manuaal;12/1999;bensiin;1.9 (77 kW);283 000 km;1119 EUR;890 EUR;https://www.auto24.ee/used/3053005
BMW;525;must met.;tagavedu;manuaal;03/1999;diisel;2.5 TDS (105 kW);256 000 km;1200 EUR;900 EUR;https://www.auto24.ee/used/3052336
BMW;528;tumesinine;tagavedu;manuaal;10/1998;bensiin;2.8 R6 (142 kW);277 000 km;;945 EUR;https://www.auto24.ee/used/3023769
BMW;316;sinine;tagavedu;manuaal;02/2001;bensiin;1.9 (77 kW);315 000 km;1300 EUR;950 EUR;https://www.auto24.ee/used/3054632
BMW;528;tumehall met.;tagavedu;automaat ( Tiptronic);12/1996;bensiin;2.8 (142 kW);350 000 km;2000 EUR;950 EUR;https://www.auto24.ee/used/3056252
BMW;525;hall met.;tagavedu;manuaal;07/1993;diisel;2.5 (105 kW);;1400 EUR;998 EUR;https://www.auto24.ee/used/3053917
BMW;318;hall;tagavedu;manuaal;11/1999;diisel;1.7 tds (66 kW);244 000 km;999 EUR;;https://www.auto24.ee/used/3061082
BMW;320;must met.;tagavedu;manuaal;05/1994;bensiin;2.0 (110 kW);360 000 km;1350 EUR;999 EUR;https://www.auto24.ee/used/3057580
BMW;318;helesinine;tagavedu;manuaal;06/1998;bensiin;1.9 (87 kW);223 000 km;1000 EUR;;https://www.auto24.ee/used/3063818
BMW;523;heleroheline;tagavedu;automaat;02/1999;bensiin;2.5 (125 kW);202 000 km;1000 EUR;;https://www.auto24.ee/used/3053798
BMW;525;tumesinine;tagavedu;manuaal;07/1996;diisel;2.5 (105 kW);;1000 EUR;;https://www.auto24.ee/used/3061943
BMW;730;hall;tagavedu;automaat;1993;bensiin;3.0 V8 (160 kW);;1100 EUR;1000 EUR;https://www.auto24.ee/used/3053996
BMW;523;must;tagavedu;manuaal;01/1997;bensiin;2.5 (125 kW);340 000 km;1050 EUR;;https://www.auto24.ee/used/3048441
BMW;318;sinine;tagavedu;manuaal;05/1999;;1.8 (87 kW);280 000 km;1099 EUR;;https://www.auto24.ee/used/3043443
BMW;318;;tagavedu;;08/1994;;1.8 (85 kW);;1099 EUR;;https://www.auto24.ee/used/3045620
BMW;320;hõbedane;tagavedu;manuaal;06/1999;diisel;2.0 (100 kW);;1799 EUR;1100 EUR;https://www.auto24.ee/used/3049321
BMW;530;tumesinine;tagavedu;automaat;10/1998;diisel;2.9 (135 kW);402 000 km;1400 EUR;1150 EUR;https://www.auto24.ee/used/2987470
BMW;318;lilla met.;tagavedu;manuaal;12/1993;bensiin;1.8 (85 kW);286 000 km;1199 EUR;;https://www.auto24.ee/used/3045203
BMW;525;hall met.;tagavedu;automaat;06/1999;diisel;2.5 (105 kW);401 700 km;1199 EUR;;https://www.auto24.ee/used/3062527
BMW;320;must;tagavedu;manuaal;10/1998;diisel;2.0 (100 kW);300 000 km;1300 EUR;1200 EUR;https://www.auto24.ee/used/3062541
BMW;320;hall met. (Stahlgrau metallic);tagavedu;manuaal;10/2000;bensiin;2.0 R6 (110 kW);365 000 km;1200 EUR;;https://www.auto24.ee/used/2723299
BMW;523;tumeroheline;tagavedu;manuaal;11/1997;bensiin;2.5 (125 kW);240 000 km;1200 EUR;;https://www.auto24.ee/used/3056506
BMW;525;hõbedane;tagavedu;manuaal;05/1997;diisel;2.5 TDS (105 kW);438 000 km;1250 EUR;1200 EUR;https://www.auto24.ee/used/3063459
BMW;525;hall;tagavedu;;01/1997;;2.5 (105 kW);;1200 EUR;;https://www.auto24.ee/used/3061749
BMW;725;tumepunane met.;tagavedu;manuaal;04/1997;diisel;2.5 (105 kW);523 000 km;1250 EUR;;https://www.auto24.ee/used/3053732
