AC;Cobra;punane;tagavedu;manuaal;01/1984;bensiin;7.0 427;14 900 km;87 900 EUR;;https://www.auto24.ee/used/2762298
Alfa Romeo;156;;;manuaal;09/2004;bensiin;2.0 (122 kW);250 000 km;650 EUR;;https://www.auto24.ee/used/3246353
Alfa Romeo;156;must met.;esivedu;manuaal;03/2000;bensiin;1.6 (88 kW);256 413 km;750 EUR;;https://www.auto24.ee/used/3244129
Alfa Romeo;156 Sportwagon;tumesinine met.;esivedu;manuaal;06/2000;bensiin;2.0 TS (114 kW);213 000 km;1800 EUR;990 EUR;https://www.auto24.ee/used/3173282
Alfa Romeo;156;hõbedane;esivedu;manuaal;06/2002;bensiin;2.0 (110 kW);162 200 km;1500 EUR;995 EUR;https://www.auto24.ee/used/3213609
Alfa Romeo;147;hall;esivedu;manuaal;01/2002;bensiin;2.0 (110 kW);207 290 km;1100 EUR;;https://www.auto24.ee/used/3216785
Alfa Romeo;156 Sportwagon;punane;esivedu;manuaal;06/2002;bensiin;2.0 (110 kW);206 000 km ·;1600 EUR;;https://www.auto24.ee/used/3231935
Alfa Romeo;GT;must met.;esivedu;manuaal (6 kaiku);07/2007;diisel;1.9 JTD;107 000 km;3990 EUR;1600 EUR;https://www.auto24.ee/used/3144234
Alfa Romeo;GT;must met.;esivedu;manuaal;12/2004;diisel;1.9 JTD (110 kW);234 000 km;1699 EUR;;https://www.auto24.ee/used/3210969
Alfa Romeo;156 Sportwagon;tumehall;esivedu;manuaal;01/2004;diisel;1.9 (85 kW);243 761 km;1700 EUR;;https://www.auto24.ee/used/3239918
Alfa Romeo;156 Sportwagon;hall met.;esivedu;manuaal;06/2005;diisel;2.4 JTd (129 kW);225 000 km ·;;1800 EUR;https://www.auto24.ee/used/3048409
Alfa Romeo;159;must (Nero Oceano Metallic);esivedu;manuaal (6-käiguline);04/2006;bensiin;2.2 (136 kW);;2345 EUR;1985 EUR;https://www.auto24.ee/used/3118782
Alfa Romeo;147;hall met.;esivedu;manuaal;09/2006;bensiin;1.6 (77 kW);94 000 km;2500 EUR;2200 EUR;https://www.auto24.ee/used/3112434
Alfa Romeo;GTV;punane;esivedu;manuaal;07/2003;bensiin;2.0 i 16V (110 kW);199 990 km ·;;2400 EUR;https://www.auto24.ee/used/2668567
