Alfa Romeo;156;tumeroheline met.;esivedu;manuaal;05/1998;bensiin;2.0 (114 kW);215 000 km;1500 EUR;600 EUR;https://www.auto24.ee/used/3345160
Alfa Romeo;156 Sportwagon;hõbedane met.;esivedu;manuaal;2005;diisel;1.9 (110 kW);163 000 km ·;;1600 EUR;https://www.auto24.ee/used/3315997
Alfa Romeo;159;hall;esivedu;manuaal;06/2006;bensiin;1.9 (118 kW);178 000 km;1699 EUR;;https://www.auto24.ee/used/3347849
Alfa Romeo;159;pruun met.;esivedu;manuaal;11/2006;diisel;1.9 JTDm (110 kW);238 000 km;1799 EUR;;https://www.auto24.ee/used/3345620
Alfa Romeo;156 Sportwagon;tumehall met.;esivedu;manuaal;2005;diisel;2.4 JTd (129 kW);226 000 km ·;;1900 EUR;https://www.auto24.ee/used/3265978
Alfa Romeo;GTV;punane;esivedu;manuaal;07/2003;bensiin;2.0 i 16V Twin-spark (110 kW);200 500 km ·;;1900 EUR;https://www.auto24.ee/used/2668567
Alfa Romeo;147;sinine met.;esivedu;poolautomaat;03/2004;bensiin;2.0 (110 kW);108 000 km;2099 EUR;;https://www.auto24.ee/used/2494929
Alfa Romeo;GT;hõbedane met.;esivedu;manuaal;2004;bensiin;2.0 Twin-spark (122 kW);183 000 km ·;;2600 EUR;https://www.auto24.ee/used/3038459
Alfa Romeo;Spider;must;tagavedu;manuaal;02/1988;bensiin;2.0 (93 kW);195 219 km;2600 EUR;Oksjon;https://www.auto24.ee/used/3349044
Alfa Romeo;156 Crosswagon;pruun;nelikvedu;manuaal;10/2005;diisel;1.9 JTD 16V (110 kW);259 114 km;2700 EUR;;https://www.auto24.ee/used/3327598
Alfa Romeo;Spider;punane;esivedu;manuaal;1996;bensiin;2.0 i Twin-Spark (110 kW);230 000 km ·;;2800 EUR;https://www.auto24.ee/used/3343749
Alfa Romeo;156 Crosswagon;sinine met.;nelikvedu;manuaal;09/2005;diisel;1.9 (110 kW);208 000 km;3600 EUR;3000 EUR;https://www.auto24.ee/used/3326559
Alfa Romeo;MiTo;punane;esivedu;manuaal;08/2011;bensiin;1.4 TurboBenzina (99 kW);110 000 km;4500 EUR;3000 EUR;https://www.auto24.ee/used/3313396
Alfa Romeo;159;must;esivedu;automaat;02/2007;diisel;2.4 (147 kW);160 000 km;3100 EUR;;https://www.auto24.ee/used/3346961
Alfa Romeo;147;sinine met.;esivedu;manuaal;09/2007;bensiin;1.6 TS (88 kW);186 000 km ·;4000 EUR;3150 EUR;https://www.auto24.ee/used/3326654
