Acura;MDX;hall met.;nelikvedu;automaat;11/2014;bensiin;3.5 (216 kW);175 000 km ·;22 900 EUR;;https://www.auto24.ee/used/3358484
Alfa Romeo;156;tumeroheline met.;esivedu;manuaal;05/1998;bensiin;2.0 (114 kW);215 000 km;1500 EUR;550 EUR;https://www.auto24.ee/used/3345160
Alfa Romeo;75;tumesinine (Blue Lord);tagavedu;manuaal;06/1991;bensiin;1.8 ie (88 kW);20 300 km;676 EUR;Oksjon;https://www.auto24.ee/used/3354860
Alfa Romeo;156 Sportwagon;punane met.;esivedu;manuaal;06/2002;bensiin;2.0 (110 kW);214 000 km ·;1100 EUR;999 EUR;https://www.auto24.ee/used/3231935
Alfa Romeo;159;hall;esivedu;manuaal;06/2006;bensiin;1.9 (118 kW);178 000 km;1599 EUR;;https://www.auto24.ee/used/3360957
Alfa Romeo;156 Sportwagon;hõbedane met.;esivedu;manuaal;2005;diisel;1.9 (110 kW);163 000 km ·;;1600 EUR;https://www.auto24.ee/used/3315997
Alfa Romeo;156;punane;esivedu;poolautomaat;07/2003;bensiin;2.0 (122 kW);143 157 km;1800 EUR;1700 EUR;https://www.auto24.ee/used/2328628
Alfa Romeo;159;pruun met.;esivedu;manuaal;11/2006;diisel;1.9 JTDm (110 kW);238 000 km;1799 EUR;;https://www.auto24.ee/used/3357183
Alfa Romeo;156 Sportwagon;tumehall met.;esivedu;manuaal;2005;diisel;2.4 JTd (129 kW);226 000 km ·;;1900 EUR;https://www.auto24.ee/used/3265978
Alfa Romeo;GTV;punane;esivedu;manuaal;07/2003;bensiin;2.0 i 16V Twin-spark (110 kW);200 500 km ·;;1900 EUR;https://www.auto24.ee/used/2668567
Alfa Romeo;GT;must;esivedu;poolautomaat;07/2005;bensiin;2.0 kat (122 kW);186 330 km;2200 EUR;2000 EUR;https://www.auto24.ee/used/3352987
Alfa Romeo;147;sinine met.;esivedu;poolautomaat;03/2004;bensiin;2.0 (110 kW);108 000 km;2099 EUR;;https://www.auto24.ee/used/2494929
Alfa Romeo;GT;hall;esivedu;manuaal;02/2004;diisel;1.9 (129 kW);266 500 km;3000 EUR;2200 EUR;https://www.auto24.ee/used/3265961
Alfa Romeo;MiTo;hall;esivedu;manuaal (6);05/2009;diisel;1.2 JTDm (66 kW);160 000 km;4000 EUR;2500 EUR;https://www.auto24.ee/used/2852701
Alfa Romeo;GT;hõbedane met.;esivedu;manuaal;2004;bensiin;2.0 i 16v Twin-Spark (122 kW);183 000 km ·;;2600 EUR;https://www.auto24.ee/used/3362353
Alfa Romeo;156 Crosswagon;pruun;nelikvedu;manuaal;10/2005;diisel;1.9 JTD 16V (110 kW);259 114 km;2700 EUR;;https://www.auto24.ee/used/3327598
Alfa Romeo;156 Crosswagon;sinine met.;nelikvedu;manuaal;09/2005;diisel;1.9 (110 kW);208 000 km;3600 EUR;3000 EUR;https://www.auto24.ee/used/3326559
Alfa Romeo;GT;must met.;esivedu;manuaal;06/2005;diisel;1.9 16V (110 kW);150 000 km ·;4200 EUR;3100 EUR;https://www.auto24.ee/used/3138117
Alfa Romeo;159;kuldne;esivedu;automaat;05/2008;bensiin;2.2 (136 kW);210 235 km;3699 EUR;3199 EUR;https://www.auto24.ee/used/3330531
Alfa Romeo;159;heleroheline met.;esivedu;automaat;03/2010;diisel;2.4 JTD (147 kW);158 000 km ·;4550 EUR;3850 EUR;https://www.auto24.ee/used/3348357
Alfa Romeo;159;sinine;esivedu;manuaal;01/2009;diisel;1.9 (110 kW);177 000 km;4700 EUR;3900 EUR;https://www.auto24.ee/used/3225165
Alfa Romeo;159;must met.;esivedu;manuaal;01/2009;diisel;2.4 JTd (154 kW);;;3900 EUR;https://www.auto24.ee/used/3326557
Alfa Romeo;164;punane;esivedu;manuaal;11/1991;bensiin;2.0 turbo (148 kW);;5400 EUR;4300 EUR;https://www.auto24.ee/used/3352854
Alfa Romeo;MiTo;tumepunane met.;esivedu;manuaal;02/2012;bensiin;1.4 (77 kW);97 100 km ·;4750 EUR;;https://www.auto24.ee/used/3334119
Alfa Romeo;Giulietta;hõbedane;esivedu;manuaal;05/2012;bensiin;1.4 (88 kW);101 436 km ·;5900 EUR;;https://www.auto24.ee/used/3265164
