AC;Cobra;punane;tagavedu;manuaal;01/1984;bensiin;7.0 427;14 900 km;86 990 EUR;;https://www.auto24.ee/used/2762298
Acura;TL;tumehall met.;esivedu;manuaal;2004;bensiin;3.2 (201 kW);135 000 km;6500 EUR;6000 EUR;https://www.auto24.ee/used/3394965
Alfa Romeo;156;punane;esivedu;poolautomaat;05/2000;;2.0 TS (114 kW);154 000 km;350 EUR;;https://www.auto24.ee/used/3271505
Alfa Romeo;156;punane;esivedu;poolautomaat;07/2003;bensiin;2.0 (122 kW);143 157 km;2000 EUR;1100 EUR;https://www.auto24.ee/used/2328628
Alfa Romeo;156;heleroheline met.;esivedu;manuaal;03/2001;bensiin;2.5 (141 kW);230 000 km ·;1390 EUR;;https://www.auto24.ee/used/3401184
Alfa Romeo;147;punane;;manuaal;02/2003;bensiin;1.6 (77 kW);115 000 km;2000 EUR;1600 EUR;https://www.auto24.ee/used/3403264
Alfa Romeo;147;valge (Valge );esivedu;manuaal;05/2008;bensiin + gaas (LPG/vedelgaas);1.6 (88 kW);261 600 km;2500 EUR;1800 EUR;https://www.auto24.ee/used/3381787
Alfa Romeo;156;;;manuaal;10/2002;diisel;(85 kW);278 000 km;1850 EUR;;https://www.auto24.ee/used/3404508
Alfa Romeo;156 Sportwagon;tumehall met. (sinise-hall);esivedu;manuaal;06/2004;diisel;2.4 JTD (129 kW);189 000 km ·;1900 EUR;;https://www.auto24.ee/used/3406014
Alfa Romeo;147;sinine met.;esivedu;poolautomaat;03/2004;bensiin;2.0 (110 kW);108 000 km;1970 EUR;;https://www.auto24.ee/used/2494929
Alfa Romeo;GT;must met.;esivedu;manuaal (6- käiku);09/2006;diisel;1.9 (110 kW);335 000 km;2500 EUR;1990 EUR;https://www.auto24.ee/used/3395160
Alfa Romeo;159;must;esivedu;automaat;10/2006;diisel;1.9 R4 16V JTD (136 kW);300 000 km;2200 EUR;2000 EUR;https://www.auto24.ee/used/3377258
Alfa Romeo;156 Sportwagon;tumehall met.;esivedu;manuaal;2005;diisel;2.4 JTd (129 kW);226 000 km ·;;2200 EUR;https://www.auto24.ee/used/3265978
Alfa Romeo;156 Crosswagon;pruun;nelikvedu;manuaal;10/2005;diisel;1.9 JTD 16V (110 kW);259 114 km;2600 EUR;;https://www.auto24.ee/used/3327598
Alfa Romeo;159;hall;esivedu;manuaal;07/2006;diisel;1.9 JTdm (88 kW);174 747 km;3500 EUR;2800 EUR;https://www.auto24.ee/used/3397561
Alfa Romeo;MiTo;tumepunane met.;esivedu;manuaal (6 käiku);09/2010;diisel;1.3 CRDI (66 kW);159 000 km ·;3999 EUR;3499 EUR;https://www.auto24.ee/used/3388712
Alfa Romeo;156 Crosswagon;sinine met.;nelikvedu;manuaal;09/2005;diisel;1.9 (110 kW);208 000 km;3600 EUR;;https://www.auto24.ee/used/3326559
Alfa Romeo;159;tumehall met.;esivedu;manuaal (6 käiku);2006;bensiin;2.2 i 16V Twin Phaser (136 kW);225 000 km ·;;3600 EUR;https://www.auto24.ee/used/3376294
Alfa Romeo;145;punane;esivedu;manuaal;1997;bensiin;2.0 i Twin Spark (114 kW);114 000 km ·;3800 EUR;;https://www.auto24.ee/used/3391866
Alfa Romeo;159;hall met.;esivedu;manuaal;11/2007;bensiin;2.2 JTS (136 kW);164 000 km ·;4900 EUR;3900 EUR;https://www.auto24.ee/used/3329341
Alfa Romeo;159;must;esivedu;automaat;06/2009;diisel;2.4 JTD (147 kW);247 000 km ·;5300 EUR;3900 EUR;https://www.auto24.ee/used/3392798
Alfa Romeo;164;punane;esivedu;manuaal;11/1991;bensiin;2.0 turbo (148 kW);;5400 EUR;3900 EUR;https://www.auto24.ee/used/3352854
Alfa Romeo;159;hõbedane met.;esivedu;automaat;04/2009;diisel;2.4 (147 kW);160 593 km;4000 EUR;;https://www.auto24.ee/used/3378837
Alfa Romeo;159;;esivedu;automaat;10/2009;diisel;2.4 (147 kW);189 000 km ·;4200 EUR;4000 EUR;https://www.auto24.ee/used/3367572
Alfa Romeo;GT;must met.;esivedu;manuaal;2010;bensiin;2.0 JTS 16v;200 500 km ·;;4200 EUR;https://www.auto24.ee/used/3406170
Alfa Romeo;159;must;esivedu;manuaal (Selespeed);11/2008;bensiin;2.2 JTS (136 kW);254 500 km;4500 EUR;;https://www.auto24.ee/used/2816683
Alfa Romeo;Giulietta;valge;esivedu;manuaal;10/2010;;1.6 TDI (77 kW);210 000 km;6900 EUR;5500 EUR;https://www.auto24.ee/used/3402695
Alfa Romeo;Giulietta;hõbedane;esivedu;manuaal;05/2012;bensiin;1.4 (88 kW);101 436 km ·;5900 EUR;;https://www.auto24.ee/used/3265164
Alfa Romeo;159;hõbedane met.;esivedu;automaat;08/2010;diisel;2.4 JTD (175 kW);161 000 km ·;7250 EUR;;https://www.auto24.ee/used/3394901
Alfa Romeo;Giulietta;punane met.;esivedu;automaat;02/2012;bensiin;1.4 (125 kW);134 000 km ·;8700 EUR;7650 EUR;https://www.auto24.ee/used/3405755
Alfa Romeo;Brera;must met.;esivedu;manuaal (6);09/2008;diisel;2.4 (154 kW);233 000 km;8000 EUR;;https://www.auto24.ee/used/3405765
Alfa Romeo;Giulietta;valge;esivedu;automaat;10/2014;bensiin;1.4 (125 kW);64 500 km;9900 EUR;;https://www.auto24.ee/used/3380568
Alfa Romeo;Brera;punane met. (punane);esivedu;manuaal;09/2007;bensiin;2.2 (136 kW);59 837 km ·;12 190 EUR;11 990 EUR;https://www.auto24.ee/used/3388783
Alfa Romeo;Giulietta;valge met.;esivedu;automaat;05/2015;bensiin;1.7 (177 kW);87 000 km ·;15 500 EUR;14 490 EUR;https://www.auto24.ee/used/3380126
Alfa Romeo;Brera;must met.;nelikvedu;automaat;09/2009;bensiin;3.2 (191 kW);57 000 km ·;14 990 EUR;;https://www.auto24.ee/used/3401316
Alfa Romeo;Giulia;punane met.;tagavedu;automaat;03/2017;bensiin;2.0 (147 kW);59 020 km ·;24 500 EUR;22 800 EUR;https://www.auto24.ee/used/3388737
Alfa Romeo;Giulia;sinine met. (Montecarlo Blue Metallic);tagavedu;automaat (8 käiguline);12/2017;diisel;2.2 (162 kW);32 230 km;24 300 EUR;;https://www.auto24.ee/used/3193336
Alfa Romeo;Giulia;tumehall met. ("Grey / COLEST409 - COLORE ESTERNO (AZZURRO)");nelikvedu;automaat (8k, käiguvahetus ka roolilt);02/2017;diisel;2.2 R4 Multijet II (154 kW);90 600 km ·;28 300 EUR;26 999 EUR;https://www.auto24.ee/used/3187366
Alfa Romeo;Giulia;hall met. (Lipari Grey);nelikvedu;automaat (8- astmeline ZF);01/2018;diisel;2.2 R4 (154 kW);35 000 km ·;32 500 EUR;29 900 EUR;https://www.auto24.ee/used/3269070
Alfa Romeo;Stelvio;punane (Alfa Red);nelikvedu;automaat;11/2017;bensiin;2.0 R4 (206 kW);55 000 km ·;30 900 EUR;29 900 EUR;https://www.auto24.ee/used/3377170
Alfa Romeo;Stelvio;hall;nelikvedu;automaat;05/2018;diisel;2.1 (154 kW);35 700 km ·;35 900 EUR;29 900 EUR;https://www.auto24.ee/used/3262529
Alfa Romeo;Giulia;hall met. (Silverstone Grey);tagavedu;automaat (8-käiguline);08/2019;diisel;2.1 R4 (132 kW);5000 km;48 777 EUR;32 900 EUR;https://www.auto24.ee/used/3349959
Alfa Romeo;Giulia;must (Alfa Black);nelikvedu;automaat;06/2020;bensiin;2.0 (206 kW);;58 997 EUR;55 900 EUR;https://www.auto24.ee/used/3402593
Alfa Romeo;Stelvio;hall;nelikvedu;automaat;08/2020;bensiin;2.0 (206 kW);11 900 km ·;66 313 EUR;58 900 EUR;https://www.auto24.ee/used/3404532
Alfa Romeo;Giulia;sinine (Violet Blue);nelikvedu;automaat;06/2020;bensiin;2.0 (206 kW);6500 km ·;59 698 EUR;;https://www.auto24.ee/used/3404875
Alfa Romeo;Giulia;tumehall met. (Vesuvio Grey);nelikvedu;automaat (8 - käiguline);2020;bensiin;2.0 Turbo 16V (206 kW);10 km ·;60 430 EUR;;https://www.auto24.ee/used/3389858
Alfa Romeo;Stelvio;must met. (Vulcano Black);nelikvedu;automaat (8 - käiguline);2020;bensiin;2.0 Turbo 16V (206 kW);10 km ·;65 610 EUR;;https://www.auto24.ee/used/3393461
Alfa Romeo;Stelvio;punane met. (Rosso Competizione);nelikvedu;automaat;06/2019;bensiin;2.9 V6 (375 kW);9000 km ·;109 627 EUR;69 900 EUR;https://www.auto24.ee/used/3349971
Alpina;B3;hõbedane met.;tagavedu;automaat;11/2000;bensiin;3.3 (206 kW);233 000 km;8900 EUR;;https://www.auto24.ee/used/3402283
Alpina;B3;must met.;tagavedu;automaat;12/2012;bensiin;2.9 Bi-Turbo (301 kW);227 000 km ·;19 900 EUR;18 400 EUR;https://www.auto24.ee/used/3382241
Alpina;D3;must met. (BLACK SAPPHIRE METALLIC (475));tagavedu;automaat (Sport Automatic);04/2015;diisel;3.0 N57T R6 (257 kW);152 000 km ·;34 490 EUR;29 490 EUR;https://www.auto24.ee/used/3339323
Alpina;B7;valge met.;nelikvedu;automaat;03/2017;bensiin;4.4 (447 kW);15 000 km ·;124 900 EUR;;https://www.auto24.ee/used/3317789
Aston Martin;DB7;heleroheline met.;tagavedu;automaat;1996;bensiin;3.2 R6 (228 kW);67 689 km ·;39 900 EUR;;https://www.auto24.ee/used/3382423
Aston Martin;DB9;hall;tagavedu;automaat;07/2004;bensiin;5.9 (335 kW);38 000 km;47 000 EUR;45 000 EUR;https://www.auto24.ee/used/3376634
Aston Martin;V8 Vantage;sinine;tagavedu;manuaal;2006;;;30 300 km;55 000 EUR;48 000 EUR;https://www.auto24.ee/used/3392695
Audi;A6;hõbedane;esivedu;automaat;03/2002;diisel;2.5 TDI (114 kW);;110 EUR;Oksjon;https://www.auto24.ee/used/3404210
Audi;80;must met.;esivedu;manuaal;03/1994;bensiin;2.0 (66 kW);243 000 km;500 EUR;250 EUR;https://www.auto24.ee/used/3399298
Audi;80;tumesinine;esivedu;manuaal;05/1991;bensiin;1.8 (66 kW);313 000 km;;325 EUR;https://www.auto24.ee/used/3396242
Audi;80;punane met.;esivedu;manuaal;1993;bensiin;2.0 (66 kW);225 000 km;599 EUR;399 EUR;https://www.auto24.ee/used/3404562
Audi;A6;hõbedane;esivedu;automaat;11/2002;bensiin;2.4 (125 kW);331 000 km;399 EUR;;https://www.auto24.ee/used/3360134
Audi;80;hõbedane;;;05/1993;bensiin;2.0 (85 kW);;400 EUR;;https://www.auto24.ee/used/3397610
Audi;A3;sinine;esivedu;manuaal;12/1996;bensiin;1.8 (92 kW);333 563 km;400 EUR;;https://www.auto24.ee/used/3396805
Audi;80;tumeroheline;esivedu;;1988;bensiin;1.8 (66 kW);274 000 km;;450 EUR;https://www.auto24.ee/used/3398644
Audi;80;punane met.;esivedu;manuaal;11/1991;diisel;1.9 TD (55 kW);315 000 km;499 EUR;;https://www.auto24.ee/used/3405318
Audi;A4;roheline;esivedu;manuaal;09/1997;diisel;1.9 (81 kW);;1700 EUR;499 EUR;https://www.auto24.ee/used/3146895
Audi;80;;;;1992;;2.0 (85 kW);;500 EUR;;https://www.auto24.ee/used/3399437
Audi;80;tumeroheline met.;esivedu;automaat;01/1995;;2.0 (85 kW);330 000 km;500 EUR;;https://www.auto24.ee/used/3383650
Audi;A4;tumesinine;esivedu;manuaal;04/1995;bensiin;1.8 (92 kW);323 860 km;;500 EUR;https://www.auto24.ee/used/3395613
Audi;A4;tumeroheline;esivedu;automaat;02/1996;bensiin;2.6 (110 kW);247 260 km;;500 EUR;https://www.auto24.ee/used/3397964
Audi;A6;must;esivedu;manuaal;01/1995;bensiin;2.0 (85 kW);364 000 km;900 EUR;550 EUR;https://www.auto24.ee/used/3399989
Audi;100;hõbedane;nelikvedu;manuaal;06/1993;bensiin;2.0 16v (103 kW);310 000 km;600 EUR;;https://www.auto24.ee/used/2941476
Audi;80;tumeroheline;;;1992;bensiin;2.0 (66 kW);214 700 km;;600 EUR;https://www.auto24.ee/used/3402351
Audi;A4;tumesinine;esivedu;manuaal;10/1996;bensiin;1.8 (92 kW);248 644 km;700 EUR;600 EUR;https://www.auto24.ee/used/3403606
Audi;A6;tumesinine met.;esivedu;manuaal;07/1998;diisel;1.9 (81 kW);375 000 km;800 EUR;600 EUR;https://www.auto24.ee/used/3404863
Audi;80;valge;;;1991;bensiin;2.0 (85 kW);;650 EUR;;https://www.auto24.ee/used/3400314
Audi;A6;must;esivedu;manuaal;10/2000;bensiin;2.4 (121 kW);299 000 km;;650 EUR;https://www.auto24.ee/used/3402321
Audi;S4;lilla;nelikvedu;manuaal;;;2.2 r5 (169 kW);100 000 km;1500 EUR;650 EUR;https://www.auto24.ee/used/3399555
Audi;A4;hõbedane;esivedu;manuaal;07/1995;bensiin;1.6 (74 kW);;1000 EUR;690 EUR;https://www.auto24.ee/used/3395703
Audi;80;tumeroheline;esivedu;;05/1993;bensiin;2.0 R4 (66 kW);209 000 km;1000 EUR;700 EUR;https://www.auto24.ee/used/3392986
Audi;A4;hõbedane;esivedu;manuaal;1995;bensiin;1.8 (92 kW);322 000 km;950 EUR;700 EUR;https://www.auto24.ee/used/3402623
Audi;A4;sinine;esivedu;manuaal;11/1998;diisel;1.9 (66 kW);;800 EUR;700 EUR;https://www.auto24.ee/used/3384270
Audi;A6;tumeroheline;esivedu;manuaal;04/1999;diisel;1.9 (81 kW);;800 EUR;700 EUR;https://www.auto24.ee/used/3405521
Audi;A4;tumesinine;esivedu;manuaal;06/1997;bensiin;1.8 (92 kW);;850 EUR;750 EUR;https://www.auto24.ee/used/3391303
Audi;A6;tumepunane;esivedu;manuaal;02/1998;bensiin;2.4 (121 kW);414 800 km;;750 EUR;https://www.auto24.ee/used/3387243
Audi;A4;hall met.;esivedu;automaat;06/2003;bensiin;1.8 T (120 kW);399 000 km;795 EUR;;https://www.auto24.ee/used/3336364
Audi;90;punane met.;esivedu;manuaal;1991;bensiin;2.3 R5 (98 kW);249 000 km;1500 EUR;800 EUR;https://www.auto24.ee/used/2033467
Audi;A4;must;esivedu;manuaal;11/1997;diisel;1.9 TDI (66 kW);;800 EUR;;https://www.auto24.ee/used/3403823
Audi;A6;hõbedane met.;esivedu;manuaal;07/1998;bensiin;2.4 V6 24V ALF (121 kW);213 297 km;1200 EUR;800 EUR;https://www.auto24.ee/used/3381162
Audi;100;tumesinine met.;;automaat;1992;bensiin;2.3 (98 kW);;900 EUR;850 EUR;https://www.auto24.ee/used/3400119
Audi;A4;tumeroheline (LZ6L);esivedu;automaat;03/2000;bensiin;2.8 B5 (142 kW);315 677 km ·;1000 EUR;850 EUR;https://www.auto24.ee/used/3398325
Audi;A6;tumesinine;esivedu;manuaal;1996;diisel;2.5 R5 (85 kW);588 000 km;950 EUR;850 EUR;https://www.auto24.ee/used/3374635
Audi;A6;must;esivedu;automaat;05/1999;diisel;2.5 (110 kW);291 km ·;890 EUR;;https://www.auto24.ee/used/3404110
Audi;A3;hõbedane met.;esivedu;automaat;11/1996;bensiin;1.8 (92 kW);223 000 km;899 EUR;;https://www.auto24.ee/used/3398594
Audi;80;tumesinine;esivedu;manuaal;1993;bensiin;2.0 (66 kW);305 000 km;1000 EUR;900 EUR;https://www.auto24.ee/used/3399018
Audi;A3;roheline met.;esivedu;manuaal;09/1999;bensiin;1.6 (74 kW);280 000 km;1250 EUR;900 EUR;https://www.auto24.ee/used/3400078
Audi;A6;tumeroheline;esivedu;manuaal;02/1998;diisel;2.5 (110 kW);464 000 km;900 EUR;;https://www.auto24.ee/used/3402889
Audi;A6;hall;esivedu;manuaal;1995;bensiin;2.0 (85 kW);;1100 EUR;950 EUR;https://www.auto24.ee/used/3394008
Audi;A4;punane;nelikvedu;manuaal;04/1997;bensiin;2.6 V6 (110 kW);269 000 km;1200 EUR;999 EUR;https://www.auto24.ee/used/2290730
Audi;A4;must;esivedu;automaat;06/1997;diisel;1.9 R4 (81 kW);303 000 km;1300 EUR;999 EUR;https://www.auto24.ee/used/3401506
Audi;A6;hall met.;esivedu;manuaal;07/1996;bensiin;2.6 (110 kW);189 000 km;1500 EUR;999 EUR;https://www.auto24.ee/used/3355421
Audi;A6;hõbedane met.;esivedu;manuaal;12/2000;bensiin;2.4 v6 (121 kW);270 000 km ·;1499 EUR;999 EUR;https://www.auto24.ee/used/3398247
Audi;A6;tumesinine;esivedu;manuaal;05/2000;bensiin;2.4 (121 kW);267 000 km;1499 EUR;999 EUR;https://www.auto24.ee/used/3403874
Audi;100;punane;esivedu;manuaal;1988;diisel;2.0 R5 (64 kW);353 000 km;1000 EUR;;https://www.auto24.ee/used/3406396
Audi;A3;hõbedane (Hõbe);esivedu;manuaal;03/2000;bensiin;1.6 8L (74 kW);271 000 km;1200 EUR;1000 EUR;https://www.auto24.ee/used/3370291
Audi;A4;tumesinine;esivedu;manuaal;02/1998;bensiin;1.8 (92 kW);318 000 km;1000 EUR;;https://www.auto24.ee/used/3403237
Audi;A4;sinine;esivedu;manuaal;;bensiin;2.4 v6 (125 kW);277 000 km;1500 EUR;1000 EUR;https://www.auto24.ee/used/1732029
Audi;A6;tumesinine (tumesinine);nelikvedu;automaat;04/2000;diisel;2.5 TDI (132 kW);448 202 km;1000 EUR;;https://www.auto24.ee/used/3398855
Audi;A6;;esivedu;automaat;09/2001;diisel;2.5 (132 kW);280 000 km;1599 EUR;1099 EUR;https://www.auto24.ee/used/3403254
