AC;Cobra;sinine met.;tagavedu;automaat;05/1967;bensiin;7.0 V8 (392 kW);24 000 km ·;76 500 EUR;;https://www.auto24.ee/used/3420516
AC;Cobra;punane;tagavedu;manuaal;01/1984;bensiin;7.0 427;14 900 km;86 990 EUR;;https://www.auto24.ee/used/2762298
Acura;TL;tumehall met.;esivedu;manuaal;2004;bensiin;3.2 (201 kW);140 000 km;7999 EUR;6500 EUR;https://www.auto24.ee/used/3394965
Alfa Romeo;156;punane;esivedu;poolautomaat;07/2003;bensiin;2.0 (122 kW);143 157 km;2000 EUR;999 EUR;https://www.auto24.ee/used/2328628
Alfa Romeo;156;heleroheline met.;esivedu;manuaal;03/2001;bensiin;2.5 (141 kW);230 000 km ·;1390 EUR;999 EUR;https://www.auto24.ee/used/3401184
Alfa Romeo;147;punane;;manuaal;02/2003;bensiin;1.6 (77 kW);115 000 km;2000 EUR;1600 EUR;https://www.auto24.ee/used/3403264
Alfa Romeo;147;sinine met.;esivedu;poolautomaat;03/2004;bensiin;2.0 (110 kW);108 000 km;1970 EUR;;https://www.auto24.ee/used/2494929
Alfa Romeo;159;punane met.;esivedu;manuaal (6käiku);04/2006;bensiin;2.2 (136 kW);282 000 km;2399 EUR;1999 EUR;https://www.auto24.ee/used/3413059
Alfa Romeo;159;hall;esivedu;manuaal;07/2006;diisel;1.9 JTdm (88 kW);174 747 km;3000 EUR;2000 EUR;https://www.auto24.ee/used/3397561
Alfa Romeo;156 Sportwagon;tumehall met.;esivedu;manuaal;2005;diisel;2.4 JTd (129 kW);226 000 km ·;;2300 EUR;https://www.auto24.ee/used/3265978
Alfa Romeo;156 Crosswagon;pruun;nelikvedu;manuaal;10/2005;diisel;1.9 JTD 16V (110 kW);259 114 km;2600 EUR;;https://www.auto24.ee/used/3327598
Alfa Romeo;159;must met.;esivedu;manuaal (6k);05/2008;bensiin;2.2 (136 kW);130 000 km;3000 EUR;2900 EUR;https://www.auto24.ee/used/3421277
Alfa Romeo;156 Sportwagon;must met.;esivedu;manuaal (6-käiguline);05/2001;bensiin;2.5 V6 (141 kW);305 000 km;2990 EUR;;https://www.auto24.ee/used/2356269
Alfa Romeo;159;must;esivedu;manuaal;02/2007;diisel;2.4 (147 kW);172 300 km;3700 EUR;3200 EUR;https://www.auto24.ee/used/3413047
Alfa Romeo;159;tumehall;esivedu;manuaal;02/2006;diisel;2.4 20V jdtm (147 kW);193 867 km ·;3600 EUR;3300 EUR;https://www.auto24.ee/used/3411272
Alfa Romeo;MiTo;tumepunane met.;esivedu;manuaal (6 käiku);09/2010;diisel;1.3 CRDI (66 kW);159 000 km ·;3999 EUR;3499 EUR;https://www.auto24.ee/used/3388712
Alfa Romeo;156 Crosswagon;sinine met.;nelikvedu;manuaal;09/2005;diisel;1.9 (110 kW);208 000 km;3600 EUR;;https://www.auto24.ee/used/3326559
Alfa Romeo;159;tumehall met.;esivedu;manuaal (6 käiku);2006;bensiin;2.2 i 16V Twin Phaser (136 kW);225 000 km ·;;3600 EUR;https://www.auto24.ee/used/3376294
Alfa Romeo;145;punane;esivedu;manuaal;1997;bensiin;2.0 i Twin Spark (114 kW);114 000 km ·;;3800 EUR;https://www.auto24.ee/used/3411639
Alfa Romeo;164;punane;esivedu;manuaal;11/1991;bensiin;2.0 turbo (148 kW);;5400 EUR;3900 EUR;https://www.auto24.ee/used/3352854
Alfa Romeo;MiTo;tumesinine met.;esivedu;manuaal;10/2009;bensiin + gaas (LPG/vedelgaas);1.4 (77 kW);101 700 km ·;3900 EUR;;https://www.auto24.ee/used/3419305
Alfa Romeo;159;must;esivedu;manuaal (Selespeed);11/2008;bensiin;2.2 JTS (136 kW);255 000 km;4000 EUR;;https://www.auto24.ee/used/2816683
Alfa Romeo;159;valge;esivedu;manuaal;09/2011;diisel;2.0 (100 kW);163 000 km;4500 EUR;4200 EUR;https://www.auto24.ee/used/3165643
Alfa Romeo;GT;must met.;esivedu;manuaal;2010;bensiin;2.0 i 16v JTS;200 000 km ·;;4200 EUR;https://www.auto24.ee/used/3414184
Alfa Romeo;MiTo;valge (Bianco elegante);esivedu;manuaal (6 käiku);07/2009;bensiin;1.4 TBI FIRE 16V TURBO R4 (114 kW);155 000 km ·;5000 EUR;;https://www.auto24.ee/used/3376786
Alfa Romeo;Giulietta;valge (elevandiluu);esivedu;manuaal;10/2010;diisel;1.6 (77 kW);210 000 km;7300 EUR;6490 EUR;https://www.auto24.ee/used/3409705
Alfa Romeo;Brera;must met.;esivedu;manuaal (6);09/2008;diisel;2.4 (154 kW);233 000 km ·;8000 EUR;6500 EUR;https://www.auto24.ee/used/3405765
Alfa Romeo;159;must met.;nelikvedu;manuaal;03/2007;bensiin;3.2 (191 kW);169 000 km ·;7000 EUR;;https://www.auto24.ee/used/3423011
Alfa Romeo;GTV;punane;esivedu;manuaal;1997;bensiin;2.0 TS (110 kW);89 000 km;7000 EUR;;https://www.auto24.ee/used/3419990
Alfa Romeo;159;hõbedane met.;esivedu;automaat;08/2010;diisel;2.4 JTD (175 kW);161 000 km ·;7150 EUR;;https://www.auto24.ee/used/3394901
Alfa Romeo;Giulietta;punane met.;esivedu;automaat;02/2012;bensiin;1.4 (125 kW);135 000 km ·;8700 EUR;7499 EUR;https://www.auto24.ee/used/3405755
Alfa Romeo;Giulietta;tumepunane met.;esivedu;manuaal;09/2012;bensiin;1.4 (125 kW);98 611 km ·;9000 EUR;8000 EUR;https://www.auto24.ee/used/3416551
Alfa Romeo;Giulietta;valge;esivedu;automaat;10/2014;bensiin;1.4 (125 kW);64 500 km;9499 EUR;;https://www.auto24.ee/used/3380568
Alfa Romeo;Brera;punane met. (punane);esivedu;manuaal (6-käiguline);09/2007;bensiin;2.2 (136 kW);61 968 km ·;12 190 EUR;11 990 EUR;https://www.auto24.ee/used/3388783
Alfa Romeo;Giulietta;valge met.;esivedu;automaat;05/2015;bensiin;1.7 (177 kW);87 000 km ·;15 500 EUR;14 490 EUR;https://www.auto24.ee/used/3380126
Alfa Romeo;Giulia;tumehall met. ("Grey / COLEST409 - COLORE ESTERNO (AZZURRO)");nelikvedu;automaat (8k, käiguvahetus ka roolilt);02/2017;diisel;2.2 R4 Multijet II (154 kW);96 600 km ·;28 300 EUR;23 999 EUR;https://www.auto24.ee/used/3187366
Alfa Romeo;Giulia;hall met. (Lipari Grey);nelikvedu;automaat (8- astmeline ZF);01/2018;diisel;2.2 R4 (154 kW);36 000 km ·;32 000 EUR;29 500 EUR;https://www.auto24.ee/used/3269070
Alfa Romeo;Stelvio;punane (Alfa Red);nelikvedu;automaat;11/2017;bensiin;2.0 R4 (206 kW);55 000 km ·;30 900 EUR;29 900 EUR;https://www.auto24.ee/used/3377170
Alfa Romeo;Giulia;hall met. (Silverstone Grey);tagavedu;automaat (8-käiguline);08/2019;diisel;2.1 R4 (132 kW);5000 km;48 777 EUR;32 900 EUR;https://www.auto24.ee/used/3349959
Alfa Romeo;Stelvio;tumesinine met. (Monte Carlo blue);nelikvedu;automaat;01/2019;bensiin;2.0 (206 kW);24 134 km ·;44 900 EUR;;https://www.auto24.ee/used/3421134
Alfa Romeo;Giulia;must (Alfa Black);nelikvedu;automaat;06/2020;bensiin;2.0 (206 kW);;58 997 EUR;55 900 EUR;https://www.auto24.ee/used/3402593
Alfa Romeo;Stelvio;sinine met. ( MISANO Blue metallic);nelikvedu;automaat;06/2020;bensiin;2.0 (206 kW);14 000 km;65 121 EUR;55 900 EUR;https://www.auto24.ee/used/3420172
Alfa Romeo;Giulia;tumehall met. (Vesuvio Grey);nelikvedu;automaat (8 - käiguline);2020;bensiin;2.0 Turbo 16V (206 kW);10 km ·;60 430 EUR;58 630 EUR;https://www.auto24.ee/used/3389858
Alfa Romeo;Stelvio;hall;nelikvedu;automaat;08/2020;bensiin;2.0 (206 kW);2950 km ·;66 313 EUR;58 900 EUR;https://www.auto24.ee/used/3404532
Alfa Romeo;Stelvio;punane (Alfa Red);nelikvedu;automaat;2020;bensiin;2.0 (206 kW);;59 451 EUR;;https://www.auto24.ee/used/3414961
Alfa Romeo;Giulia;sinine (Violet Blue);nelikvedu;automaat;06/2020;bensiin;2.0 (206 kW);8000 km ·;59 698 EUR;;https://www.auto24.ee/used/3404875
Alfa Romeo;Stelvio;must met. (Vulcano Black);nelikvedu;automaat (8 - käiguline);09/2020;bensiin;2.0 Turbo 16V (206 kW);2500 km ·;65 610 EUR;59 990 EUR;https://www.auto24.ee/used/3393461
Alfa Romeo;Stelvio;punane met. (Rosso Competizione);nelikvedu;automaat;06/2019;bensiin;2.9 V6 (375 kW);9000 km ·;109 627 EUR;69 900 EUR;https://www.auto24.ee/used/3349971
Alpina;B3;hõbedane met.;tagavedu;automaat;11/2000;bensiin;3.3 (206 kW);234 100 km;8600 EUR;;https://www.auto24.ee/used/3402283
Alpina;B3;must met.;tagavedu;automaat;12/2012;bensiin;2.9 Bi-Turbo (301 kW);227 000 km ·;19 900 EUR;17 900 EUR;https://www.auto24.ee/used/3382241
Alpina;D3;must met. (BLACK SAPPHIRE METALLIC (475));tagavedu;automaat (Sport Automatic);04/2015;diisel;3.0 N57T R6 (257 kW);152 000 km ·;34 490 EUR;29 490 EUR;https://www.auto24.ee/used/3339323
Alpina;B7;valge met.;nelikvedu;automaat;03/2017;bensiin;4.4 (447 kW);15 000 km ·;124 900 EUR;;https://www.auto24.ee/used/3317789
Aston Martin;DB7;heleroheline met.;tagavedu;automaat;1996;bensiin;3.2 R6 (228 kW);67 689 km ·;39 900 EUR;;https://www.auto24.ee/used/3382423
Aston Martin;DB9;hall;tagavedu;automaat;07/2004;bensiin;5.9 (335 kW);38 000 km;47 000 EUR;45 000 EUR;https://www.auto24.ee/used/3376634
Audi;A6;hõbedane;esivedu;automaat;02/2000;;2.5 (110 kW);;120 EUR;Oksjon;https://www.auto24.ee/used/3422299
Audi;80;tumehall;;manuaal;02/1991;bensiin;1.8 (66 kW);327 522 km;700 EUR;300 EUR;https://www.auto24.ee/used/3423495
Audi;80;tumesinine;esivedu;manuaal;03/1990;bensiin;1.6 (51 kW);290 000 km ·;400 EUR;;https://www.auto24.ee/used/3200016
Audi;80;tumeroheline;esivedu;manuaal;1992;bensiin;2.0 (66 kW);214 700 km;;450 EUR;https://www.auto24.ee/used/3402351
Audi;A4;tumeroheline;esivedu;automaat;02/1996;bensiin;2.6 (110 kW);247 260 km;;500 EUR;https://www.auto24.ee/used/3421246
Audi;80;lilla;esivedu;manuaal;10/1994;bensiin;2.0 (66 kW);246 000 km;550 EUR;;https://www.auto24.ee/used/3423511
Audi;A4;must;nelikvedu;automaat;01/1999;bensiin;2.8 V6 (142 kW);331 000 km;900 EUR;599 EUR;https://www.auto24.ee/used/3414378
